Distance,Amplitude,Detection
77.41,55.32,No Detect
61.22,42.75,Detect
62.69,38.75,Detect
62.87,48.44,Detect
75.63,45.33,Detect
80.91,48.78,Detect
76.43,46.34,Detect
71.1,58.74,No Detect
72.42,46.39,Detect
77.94,51.7,No Detect
63.91,42.63,Detect
71.46,44.21,Detect
72.3,55.05,No Detect
67.38,59.52,No Detect
66.28,51.57,Detect
71.46,41.08,Detect
72.55,47.45,No Detect
76.25,34.97,Detect
72.01,40.91,Detect
67.02,64.94,No Detect
65.2,39.18,Detect
69.41,60.28,No Detect
74.76,41.84,No Detect
71.5,55.63,No Detect
63.37,54.88,Detect
70.69,40.93,Detect
81.22,57.62,No Detect
66.35,54.31,No Detect
77.85,59.86,No Detect
74.07,39.21,Detect
78.0,44.96,No Detect
59.42,44.15,Detect
69.09,48.79,Detect
71.02,44.55,Detect
78.67,41.95,Detect
74.37,55.73,No Detect
78.68,59.95,No Detect
77.55,59.88,No Detect
74.81,47.21,Detect
74.32,59.61,No Detect
74.9,44.62,Detect
68.26,43.71,Detect
79.29,50.9,No Detect
71.76,46.33,Detect
63.09,50.24,Detect
69.42,42.38,Detect
76.47,52.33,No Detect
72.52,56.8,No Detect
79.11,40.24,Detect
80.73,63.83,No Detect
69.89,49.34,No Detect
83.17,60.4,No Detect
70.01,51.49,No Detect
76.45,54.63,No Detect
66.73,53.61,Detect
77.87,52.36,No Detect
75.68,50.71,No Detect
67.23,44.48,Detect
68.28,38.59,Detect
86.91,51.29,No Detect
74.73,56.54,No Detect
76.01,45.0,Detect
72.83,49.62,Detect
73.27,35.08,Detect
76.82,58.86,No Detect
81.81,53.72,No Detect
78.73,54.35,No Detect
56.64,45.93,Detect
76.45,54.29,No Detect
74.46,55.16,No Detect
82.96,50.71,No Detect
71.14,45.5,Detect
87.25,54.43,No Detect
83.59,45.98,No Detect
73.39,60.18,No Detect
67.76,40.27,Detect
67.47,44.67,Detect
72.73,54.37,No Detect
77.73,58.49,No Detect
74.07,44.2,Detect
64.82,33.18,Detect
80.61,51.62,No Detect
74.57,36.54,Detect
76.19,50.9,No Detect
63.23,44.91,Detect
67.6,39.6,Detect
73.16,45.73,Detect
67.27,43.13,Detect
79.68,60.29,No Detect
73.91,57.38,No Detect
67.1,54.03,Detect
68.09,46.5,Detect
69.08,57.1,No Detect
60.25,56.13,No Detect
64.46,45.92,Detect
77.64,58.31,No Detect
77.28,54.37,No Detect
67.08,43.21,Detect
64.47,55.5,Detect
83.98,49.96,No Detect
